ID,Y,M,D,HH,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Daily Summary
35,2006,4,10,10,Mostly Cloudy,rain,15.094444444444449,15.094444444444449,0.61,17.549000000000003,151.0,9.982,1013.96,Mostly cloudy throughout the day.
36,2006,4,10,11,Mostly Cloudy,rain,17.355555555555558,17.355555555555558,0.52,22.7815,169.0,9.982,1013.85,Mostly cloudy throughout the day.
37,2006,4,10,12,Mostly Cloudy,rain,19.00555555555555,19.00555555555555,0.46,23.8924,169.0,9.982,1013.04,Mostly cloudy throughout the day.
38,2006,4,10,13,Mostly Cloudy,rain,20.04444444444444,20.04444444444444,0.4,28.3682,170.0,9.982,1012.22,Mostly cloudy throughout the day.
39,2006,4,10,14,Mostly Cloudy,rain,21.05,21.05,0.4,26.9031,187.0,10.3523,1011.44,Mostly cloudy throughout the day.
40,2006,4,10,15,Mostly Cloudy,rain,21.18333333333333,21.18333333333333,0.37,25.6956,179.0,9.982,1010.52,Mostly cloudy throughout the day.
41,2006,4,10,16,Mostly Cloudy,rain,20.11666666666666,20.11666666666666,0.4,25.309200000000004,162.0,9.982,1009.83,Mostly cloudy throughout the day.
42,2006,4,10,17,Mostly Cloudy,rain,20.216666666666665,20.216666666666665,0.36,18.1125,161.0,10.3523,1009.26,Mostly cloudy throughout the day.
43,2006,4,10,18,Mostly Cloudy,rain,20.0,20.0,0.43,23.425500000000003,160.0,9.982,1008.76,Mostly cloudy throughout the day.
44,2006,4,10,19,Mostly Cloudy,rain,17.800000000000004,17.800000000000004,0.5,20.0445,150.0,11.2056,1008.36,Mostly cloudy throughout the day.
45,2006,4,10,20,Mostly Cloudy,rain,16.06111111111111,16.06111111111111,0.53,21.3969,149.0,9.982,1008.11,Mostly cloudy throughout the day.
46,2006,4,10,21,Mostly Cloudy,rain,15.02222222222222,15.02222222222222,0.55,21.3808,159.0,9.982,1008.15,Mostly cloudy throughout the day.
47,2006,4,10,22,Overcast,rain,14.422222222222224,14.422222222222224,0.58,20.0123,159.0,15.826300000000002,1007.85,Mostly cloudy throughout the day.
48,2006,4,10,23,Overcast,rain,14.255555555555553,14.255555555555553,0.59,16.5025,168.0,14.9569,1007.89,Mostly cloudy throughout the day.
49,2006,4,11,0,Overcast,rain,13.77222222222222,13.77222222222222,0.6,17.0982,160.0,15.826300000000002,1007.36,Foggy in the evening.
50,2006,4,11,1,Overcast,rain,13.283333333333331,13.283333333333331,0.63,14.3612,160.0,15.826300000000002,1007.26,Foggy in the evening.
51,2006,4,11,2,Overcast,rain,8.633333333333333,5.466666666666669,0.87,22.0409,32.0,6.6976,1005.1,Foggy in the evening.
52,2006,4,11,3,Overcast,rain,11.25,11.25,0.83,11.3344,152.0,15.826300000000002,1007.01,Foggy in the evening.
53,2006,4,11,4,Overcast,rain,11.183333333333334,11.183333333333334,0.89,11.2056,180.0,9.9015,1006.73,Foggy in the evening.
54,2006,4,11,5,Overcast,rain,10.694444444444445,10.694444444444445,0.95,10.4006,161.0,6.6976,1006.59,Foggy in the evening.
55,2006,4,11,6,Mostly Cloudy,rain,11.11111111111111,11.11111111111111,0.93,12.0106,140.0,5.9731000000000005,1006.34,Foggy in the evening.
56,2006,4,11,7,Mostly Cloudy,rain,11.11111111111111,11.11111111111111,0.93,9.2092,103.0,10.8031,1006.09,Foggy in the evening.
57,2006,4,11,8,Partly Cloudy,rain,12.166666666666666,12.166666666666666,0.82,9.9015,113.0,10.6743,1005.97,Foggy in the evening.
58,2006,4,11,9,Partly Cloudy,rain,12.755555555555556,12.755555555555556,0.79,13.8299,129.0,10.8192,1005.63,Foggy in the evening.
59,2006,4,11,10,Partly Cloudy,rain,13.838888888888889,13.838888888888889,0.84,9.0965,159.0,10.8192,1005.83,Foggy in the evening.
60,2006,4,11,11,Partly Cloudy,rain,16.183333333333334,16.183333333333334,0.73,0.6440000000000001,207.0,10.7548,1005.97,Foggy in the evening.
61,2006,4,11,12,Mostly Cloudy,rain,17.516666666666666,17.516666666666666,0.67,0.6762,153.0,10.8997,1005.64,Foggy in the evening.
62,2006,4,11,13,Mostly Cloudy,rain,17.383333333333333,17.383333333333333,0.67,3.864,4.0,10.851400000000002,1005.2,Foggy in the evening.
63,2006,4,11,14,Mostly Cloudy,rain,17.36111111111111,17.36111111111111,0.71,7.824600000000001,341.0,11.0768,1005.1,Foggy in the evening.
64,2006,4,11,15,Mostly Cloudy,rain,17.205555555555556,17.205555555555556,0.74,15.5848,15.0,10.851400000000002,1004.65,Foggy in the evening.
65,2006,4,11,16,Mostly Cloudy,rain,15.633333333333333,15.633333333333333,0.81,23.6992,348.0,10.8836,1004.04,Foggy in the evening.
66,2006,4,11,17,Overcast,rain,13.577777777777776,13.577777777777776,0.9,20.9622,321.0,7.615300000000001,1004.08,Foggy in the evening.
67,2006,4,11,18,Foggy,rain,10.911111111111111,10.911111111111111,0.86,22.395100000000003,311.0,2.6565,1004.61,Foggy in the evening.
68,2006,4,11,19,Foggy,rain,8.800000000000002,5.294444444444445,0.99,26.5006,339.0,2.6565,1004.99,Foggy in the evening.
69,2006,4,11,20,Overcast,rain,8.961111111111112,5.777777777777777,0.93,23.2162,340.0,3.815700000000001,1004.85,Foggy in the evening.
70,2006,4,11,21,Overcast,rain,8.199999999999998,4.605555555555555,0.96,25.4219,330.0,4.4919,1004.96,Foggy in the evening.
71,2006,4,11,22,Overcast,rain,7.688888888888891,3.722222222222224,0.96,28.1267,339.0,4.4436,1005.14,Foggy in the evening.
72,2006,4,11,23,Overcast,rain,7.766666666666664,4.649999999999999,0.96,19.2878,339.0,5.6833,1005.05,Foggy in the evening.
73,2006,4,12,0,Foggy,rain,8.199999999999998,5.072222222222224,0.96,20.447,341.0,3.1073,1004.8,Foggy overnight and breezy in the morning.
74,2006,4,12,1,Foggy,rain,8.177777777777777,4.372222222222221,0.93,27.8691,19.0,3.2039,1004.89,Foggy overnight and breezy in the morning.
75,2006,4,12,2,Mostly Cloudy,rain,7.311111111111109,6.183333333333335,0.82,6.745900000000001,277.0,14.0553,1007.0,Foggy overnight and breezy in the morning.
76,2006,4,12,3,Overcast,rain,7.644444444444442,5.038888888888889,0.93,14.9086,9.0,6.118,1004.3,Foggy overnight and breezy in the morning.
77,2006,4,12,4,Overcast,rain,6.622222222222224,2.616666666666667,0.93,25.035500000000003,0.0,6.118,1003.68,Foggy overnight and breezy in the morning.
78,2006,4,12,5,Overcast,rain,6.683333333333334,3.2222222222222205,0.93,19.8352,350.0,6.166300000000001,1003.86,Foggy overnight and breezy in the morning.
79,2006,4,12,6,Overcast,rain,6.0888888888888895,1.6499999999999997,0.93,28.0945,349.0,7.969500000000001,1003.57,Foggy overnight and breezy in the morning.
80,2006,4,12,7,Overcast,rain,6.066666666666667,1.633333333333332,0.93,27.9818,348.0,6.3434,1003.96,Foggy overnight and breezy in the morning.
81,2006,4,12,8,Breezy and Mostly Cloudy,rain,6.144444444444446,1.4944444444444431,0.93,30.863700000000005,349.0,10.5455,1004.1,Foggy overnight and breezy in the morning.
82,2006,4,12,9,Breezy and Mostly Cloudy,rain,7.133333333333336,2.688888888888891,0.8,32.1678,349.0,11.2056,1004.26,Foggy overnight and breezy in the morning.
83,2006,4,12,10,Overcast,rain,7.205555555555555,3.2333333333333334,0.86,26.5328,339.0,11.27,1004.18,Foggy overnight and breezy in the morning.
84,2006,4,12,11,Mostly Cloudy,rain,7.566666666666666,3.544444444444446,0.84,28.33600000000001,339.0,10.5455,1004.23,Foggy overnight and breezy in the morning.
85,2006,4,12,12,Mostly Cloudy,rain,8.900000000000002,5.161111111111111,0.77,29.833300000000005,348.0,11.27,1004.47,Foggy overnight and breezy in the morning.
86,2006,4,12,13,Mostly Cloudy,rain,9.961111111111112,6.644444444444445,0.71,28.480900000000005,339.0,11.27,1004.52,Foggy overnight and breezy in the morning.
87,2006,4,12,14,Mostly Cloudy,rain,9.888888888888888,6.55,0.71,28.5131,338.0,11.0768,1004.29,Foggy overnight and breezy in the morning.
88,2006,4,12,15,Mostly Cloudy,rain,11.066666666666668,11.066666666666668,0.71,25.6956,320.0,11.27,1003.93,Foggy overnight and breezy in the morning.
89,2006,4,12,16,Overcast,rain,10.116666666666667,10.116666666666667,0.76,25.3414,311.0,11.27,1004.0,Foggy overnight and breezy in the morning.
90,2006,4,12,17,Overcast,rain,11.038888888888888,11.038888888888888,0.66,21.413000000000004,311.0,9.982,1004.3,Foggy overnight and breezy in the morning.
91,2006,4,12,18,Overcast,rain,10.65,10.65,0.7,17.8549,310.0,14.9086,1004.0,Foggy overnight and breezy in the morning.
92,2006,4,12,19,Overcast,rain,10.050000000000002,10.050000000000002,0.7,15.1984,328.0,9.982,1004.39,Foggy overnight and breezy in the morning.
93,2006,4,12,20,Mostly Cloudy,rain,9.9,7.716666666666667,0.66,15.7297,348.0,11.0285,1005.48,Foggy overnight and breezy in the morning.
94,2006,4,12,21,Overcast,rain,8.794444444444444,6.816666666666668,0.71,12.3648,20.0,9.982,1005.89,Foggy overnight and breezy in the morning.
95,2006,4,12,22,Mostly Cloudy,rain,7.827777777777779,5.405555555555554,0.72,13.894300000000005,28.0,15.826300000000002,1006.37,Foggy overnight and breezy in the morning.
96,2006,4,12,23,Overcast,rain,7.855555555555556,6.122222222222224,0.72,9.8049,11.0,15.005200000000002,1006.56,Foggy overnight and breezy in the morning.
97,2006,4,13,0,Mostly Cloudy,rain,7.316666666666667,6.211111111111111,0.75,6.6654,326.0,15.8746,1007.07,Overcast throughout the day.
98,2006,4,13,1,Overcast,rain,7.244444444444444,6.005555555555556,0.75,7.1162,309.0,15.8746,1007.37,Overcast throughout the day.
99,2006,4,13,2,Partly Cloudy,rain,5.438888888888888,5.438888888888888,0.88,3.719100000000001,193.0,9.982,1012.23,Overcast throughout the day.
100,2006,4,13,3,Overcast,rain,7.200000000000001,4.549999999999999,0.76,14.4739,273.0,15.826300000000002,1007.28,Overcast throughout the day.
101,2006,4,13,4,Overcast,rain,6.688888888888888,3.1611111111111097,0.7,20.5275,300.0,15.826300000000002,1007.18,Overcast throughout the day.
102,2006,4,13,5,Overcast,rain,6.211111111111111,2.694444444444445,0.73,19.3039,309.0,14.9569,1007.39,Overcast throughout the day.
103,2006,4,13,6,Overcast,rain,6.111111111111111,2.7999999999999994,0.76,17.436300000000003,300.0,9.982,1007.67,Overcast throughout the day.
104,2006,4,13,7,Overcast,rain,6.111111111111111,2.438888888888889,0.76,20.4148,300.0,9.982,1007.98,Overcast throughout the day.
105,2006,4,13,8,Overcast,rain,6.172222222222222,2.922222222222221,0.76,17.0499,307.0,9.982,1008.57,Overcast throughout the day.
106,2006,4,13,9,Overcast,rain,7.222222222222222,3.8333333333333326,0.71,20.5114,319.0,9.982,1008.87,Overcast throughout the day.
107,2006,4,13,10,Overcast,rain,7.288888888888888,4.2444444444444445,0.73,17.6456,328.0,9.982,1009.44,Overcast throughout the day.
108,2006,4,13,11,Overcast,rain,7.405555555555555,4.816666666666667,0.72,14.4095,318.0,9.982,1010.03,Overcast throughout the day.
109,2006,4,13,12,Overcast,rain,7.96111111111111,6.072222222222222,0.7,10.7548,321.0,10.0464,1010.22,Overcast throughout the day.
110,2006,4,13,13,Overcast,rain,8.033333333333335,7.583333333333333,0.7,4.8622000000000005,349.0,10.0464,1010.39,Overcast throughout the day.
111,2006,4,13,14,Overcast,rain,9.07777777777778,9.07777777777778,0.65,2.3828,348.0,10.0303,1010.24,Overcast throughout the day.
112,2006,4,13,15,Overcast,rain,9.05,9.05,0.62,0.322,243.0,9.982,1010.0,Overcast throughout the day.
113,2006,4,13,16,Overcast,rain,9.05,9.05,0.65,3.2522,177.0,11.2056,1009.98,Overcast throughout the day.
114,2006,4,13,17,Overcast,rain,9.183333333333334,9.183333333333334,0.65,3.0107000000000004,170.0,11.0285,1010.05,Overcast throughout the day.
115,2006,4,13,18,Overcast,rain,9.07222222222222,7.455555555555557,0.7,10.465,172.0,9.982,1010.1,Overcast throughout the day.
116,2006,4,13,19,Overcast,rain,7.983333333333332,6.81111111111111,0.75,7.3416,172.0,9.982,1010.39,Overcast throughout the day.
117,2006,4,13,20,Overcast,rain,8.072222222222223,6.433333333333333,0.75,9.5151,150.0,9.982,1010.91,Overcast throughout the day.
118,2006,4,13,21,Overcast,rain,7.894444444444446,6.127777777777778,0.82,9.9981,142.0,9.982,1011.32,Overcast throughout the day.
119,2006,4,13,22,Overcast,rain,7.311111111111109,4.8055555555555545,0.83,13.685,141.0,11.9784,1011.61,Overcast throughout the day.
120,2006,4,13,23,Mostly Cloudy,rain,7.33888888888889,5.183333333333333,0.84,11.5437,141.0,14.168000000000005,1011.97,Overcast throughout the day.
121,2006,4,14,0,Mostly Cloudy,rain,6.622222222222224,4.111111111111111,0.85,12.719,142.0,14.9086,1012.22,Mostly cloudy throughout the day.
122,2006,4,14,1,Partly Cloudy,rain,6.066666666666667,3.4111111111111114,0.88,12.8961,130.0,14.9086,1012.74,Mostly cloudy throughout the day.
123,2006,4,14,2,Partly Cloudy,rain,8.338888888888887,8.338888888888887,0.88,0.6923,359.0,15.005200000000002,1015.35,Mostly cloudy throughout the day.
124,2006,4,14,3,Mostly Cloudy,rain,5.183333333333333,4.111111111111111,0.91,5.5384,166.0,9.982,1013.29,Mostly cloudy throughout the day.
125,2006,4,14,4,Mostly Cloudy,rain,3.722222222222224,2.566666666666665,0.94,5.2003,145.0,9.982,1013.39,Mostly cloudy throughout the day.
126,2006,4,14,5,Mostly Cloudy,rain,4.855555555555557,3.7055555555555566,0.93,5.618900000000001,170.0,5.9248,1013.45,Mostly cloudy throughout the day.
127,2006,4,14,6,Foggy,rain,5.211111111111112,5.211111111111112,0.92,4.7656,178.0,1.2236,1013.4,Mostly cloudy throughout the day.
128,2006,4,14,7,Overcast,rain,6.255555555555555,4.638888888888889,0.92,7.921200000000001,223.0,7.212800000000001,1013.81,Mostly cloudy throughout the day.
129,2006,4,14,8,Mostly Cloudy,rain,7.794444444444445,6.0555555555555545,0.87,9.7566,240.0,10.6743,1014.7,Mostly cloudy throughout the day.
130,2006,4,14,9,Mostly Cloudy,rain,10.050000000000002,10.050000000000002,0.76,9.6922,231.0,11.2056,1014.67,Mostly cloudy throughout the day.
131,2006,4,14,10,Mostly Cloudy,rain,12.2,12.2,0.66,14.49,230.0,9.982,1014.66,Mostly cloudy throughout the day.
132,2006,4,14,11,Mostly Cloudy,rain,12.7,12.7,0.63,20.3343,214.0,11.0285,1014.8,Mostly cloudy throughout the day.
133,2006,4,14,12,Partly Cloudy,rain,13.933333333333332,13.933333333333332,0.58,23.5865,222.0,11.27,1014.47,Mostly cloudy throughout the day.
134,2006,4,14,13,Partly Cloudy,rain,15.094444444444449,15.094444444444449,0.59,22.2985,241.0,11.27,1014.16,Mostly cloudy throughout the day.
135,2006,4,14,14,Mostly Cloudy,rain,15.150000000000002,15.150000000000002,0.5,14.715400000000002,235.0,11.4471,1014.07,Mostly cloudy throughout the day.
136,2006,4,14,15,Partly Cloudy,rain,16.177777777777777,16.177777777777777,0.44,14.49,238.0,11.27,1013.34,Mostly cloudy throughout the day.
137,2006,4,14,16,Partly Cloudy,rain,16.25,16.25,0.55,14.715400000000002,211.0,11.27,1012.72,Mostly cloudy throughout the day.
138,2006,4,14,17,Partly Cloudy,rain,16.29444444444444,16.29444444444444,0.5,19.5937,221.0,11.4471,1012.38,Mostly cloudy throughout the day.
139,2006,4,14,18,Partly Cloudy,rain,16.099999999999998,16.099999999999998,0.56,14.828100000000004,215.0,11.125100000000002,1012.38,Mostly cloudy throughout the day.
140,2006,4,14,19,Partly Cloudy,rain,12.955555555555556,12.955555555555556,0.68,11.9784,224.0,11.27,1012.72,Mostly cloudy throughout the day.
141,2006,4,14,20,Mostly Cloudy,rain,13.85,13.85,0.64,11.5598,231.0,11.4471,1013.42,Mostly cloudy throughout the day.
142,2006,4,14,21,Mostly Cloudy,rain,12.77777777777778,12.77777777777778,0.69,14.2485,358.0,10.0464,1014.41,Mostly cloudy throughout the day.
143,2006,4,14,22,Mostly Cloudy,rain,12.15,12.15,0.72,11.253900000000002,8.0,15.8746,1014.89,Mostly cloudy throughout the day.
144,2006,4,14,23,Mostly Cloudy,rain,10.677777777777775,10.677777777777775,0.81,5.7799000000000005,59.0,15.005200000000002,1014.91,Mostly cloudy throughout the day.
145,2006,4,15,0,Mostly Cloudy,rain,10.444444444444445,10.444444444444445,0.83,2.6404,63.0,15.8746,1014.75,Mostly cloudy throughout the day.
146,2006,4,15,1,Mostly Cloudy,rain,9.822222222222225,9.466666666666663,0.8,5.313,65.0,15.8746,1015.55,Mostly cloudy throughout the day.
147,2006,4,15,2,Mostly Cloudy,rain,11.02777777777778,11.02777777777778,0.74,11.382700000000002,146.0,14.9569,1015.7,Mostly cloudy throughout the day.
148,2006,4,15,3,Mostly Cloudy,rain,7.138888888888889,7.138888888888889,0.93,3.6547,305.0,14.9086,1016.43,Mostly cloudy throughout the day.
149,2006,4,15,4,Mostly Cloudy,rain,7.622222222222222,5.644444444444442,0.89,10.8675,327.0,14.9086,1016.56,Mostly cloudy throughout the day.
150,2006,4,15,5,Mostly Cloudy,rain,7.627777777777775,6.611111111111111,0.86,6.5205,319.0,13.3791,1017.15,Mostly cloudy throughout the day.
151,2006,4,15,6,Mostly Cloudy,rain,7.044444444444444,4.855555555555557,0.86,11.3988,271.0,9.982,1017.37,Mostly cloudy throughout the day.
152,2006,4,15,7,Partly Cloudy,rain,8.599999999999998,7.03888888888889,0.84,9.66,297.0,9.982,1018.25,Mostly cloudy throughout the day.
153,2006,4,15,8,Partly Cloudy,rain,9.65,7.383333333333332,0.84,15.955100000000002,289.0,9.982,1019.24,Mostly cloudy throughout the day.
154,2006,4,15,9,Partly Cloudy,rain,12.105555555555554,12.105555555555554,0.72,13.1698,310.0,9.982,1019.83,Mostly cloudy throughout the day.
155,2006,4,15,10,Partly Cloudy,rain,12.77777777777778,12.77777777777778,0.71,13.1698,301.0,11.2056,1020.51,Mostly cloudy throughout the day.
156,2006,4,15,11,Partly Cloudy,rain,13.81111111111111,13.81111111111111,0.65,9.6761,307.0,11.4471,1020.91,Mostly cloudy throughout the day.
157,2006,4,15,12,Partly Cloudy,rain,16.016666666666666,16.016666666666666,0.48,11.237800000000002,307.0,11.27,1020.6,Mostly cloudy throughout the day.
158,2006,4,15,13,Partly Cloudy,rain,17.127777777777776,17.127777777777776,0.47,12.7029,308.0,11.27,1020.39,Mostly cloudy throughout the day.
159,2006,4,15,14,Partly Cloudy,rain,17.144444444444446,17.144444444444446,0.43,10.6099,279.0,11.4471,1020.34,Mostly cloudy throughout the day.
160,2006,4,15,15,Mostly Cloudy,rain,17.77777777777778,17.77777777777778,0.4,7.953400000000001,272.0,11.2056,1019.7,Mostly cloudy throughout the day.
161,2006,4,15,16,Mostly Cloudy,rain,17.77777777777778,17.77777777777778,0.37,2.5921000000000003,351.0,11.2056,1018.89,Mostly cloudy throughout the day.
162,2006,4,15,17,Mostly Cloudy,rain,17.805555555555557,17.805555555555557,0.43,11.0124,175.0,10.3523,1018.48,Mostly cloudy throughout the day.
163,2006,4,15,18,Mostly Cloudy,rain,16.15555555555555,16.15555555555555,0.52,9.1931,172.0,9.982,1017.87,Mostly cloudy throughout the day.
164,2006,4,15,19,Mostly Cloudy,rain,14.05,14.05,0.63,9.160900000000002,160.0,9.982,1017.56,Mostly cloudy throughout the day.
165,2006,4,15,20,Mostly Cloudy,rain,13.08888888888889,13.08888888888889,0.67,9.2736,138.0,9.982,1017.38,Mostly cloudy throughout the day.
166,2006,4,15,21,Mostly Cloudy,rain,12.288888888888888,12.288888888888888,0.72,9.4507,141.0,9.982,1017.58,Mostly cloudy throughout the day.
167,2006,4,15,22,Overcast,rain,12.77777777777778,12.77777777777778,0.66,11.0768,141.0,15.826300000000002,1017.65,Mostly cloudy throughout the day.
168,2006,4,15,23,Overcast,rain,12.727777777777776,12.727777777777776,0.67,13.3791,149.0,14.9569,1017.36,Mostly cloudy throughout the day.
169,2006,4,16,0,Overcast,rain,12.266666666666666,12.266666666666666,0.69,14.1358,151.0,15.826300000000002,1016.8,Mostly cloudy throughout the day.
170,2006,4,16,1,Overcast,rain,11.71111111111111,11.71111111111111,0.71,11.3183,158.0,15.826300000000002,1016.64,Mostly cloudy throughout the day.
171,2006,4,16,2,Partly Cloudy,rain,10.82777777777778,10.82777777777778,0.86,9.177,259.0,14.168000000000005,1013.13,Mostly cloudy throughout the day.
172,2006,4,16,3,Overcast,rain,12.2,12.2,0.59,14.168000000000005,141.0,15.826300000000002,1014.79,Mostly cloudy throughout the day.
173,2006,4,16,4,Overcast,rain,12.2,12.2,0.6,14.296800000000005,151.0,15.826300000000002,1014.25,Mostly cloudy throughout the day.
174,2006,4,16,5,Overcast,rain,11.688888888888888,11.688888888888888,0.68,13.8299,152.0,14.9569,1013.95,Mostly cloudy throughout the day.
175,2006,4,16,6,Overcast,rain,11.205555555555556,11.205555555555556,0.77,14.007,132.0,9.982,1013.63,Mostly cloudy throughout the day.
176,2006,4,16,7,Mostly Cloudy,rain,11.133333333333333,11.133333333333333,0.77,15.4882,150.0,9.982,1013.27,Mostly cloudy throughout the day.
177,2006,4,16,8,Mostly Cloudy,rain,11.43888888888889,11.43888888888889,0.77,13.8782,163.0,10.3523,1013.56,Mostly cloudy throughout the day.
178,2006,4,16,9,Mostly Cloudy,rain,13.033333333333337,13.033333333333337,0.81,14.457800000000002,209.0,9.982,1012.85,Mostly cloudy throughout the day.
179,2006,4,16,10,Mostly Cloudy,rain,17.244444444444444,17.244444444444444,0.62,25.0194,221.0,11.27,1012.15,Mostly cloudy throughout the day.
180,2006,4,16,11,Mostly Cloudy,rain,17.73888888888889,17.73888888888889,0.53,27.37,230.0,11.4471,1011.71,Mostly cloudy throughout the day.
181,2006,4,16,12,Overcast,rain,17.84444444444445,17.84444444444445,0.56,22.218000000000004,251.0,11.27,1011.28,Mostly cloudy throughout the day.
182,2006,4,16,13,Mostly Cloudy,rain,18.86111111111111,18.86111111111111,0.56,23.5382,250.0,11.27,1010.99,Mostly cloudy throughout the day.
183,2006,4,16,14,Overcast,rain,18.666666666666664,18.666666666666664,0.56,19.8996,240.0,11.3988,1010.93,Mostly cloudy throughout the day.
